aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response
,,,,,,MSP,,,,,SLC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MSP&origin=SLC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,34.0,3335.0,1.0,3.0,<Response [200]>
,,,,,,DTW,,,,,JFK,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=DTW&origin=JFK&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,37.0,3685.0,1.0,3.0,<Response [200]>
,,,,,,ATL,,,,,RDU,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=RDU&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,30.0,2903.0,1.0,3.0,<Response [200]>
,,,,,,PHL,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=PHL&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,29.0,2811.0,1.0,3.0,<Response [200]>
,,,,,,ATL,,,,,BOS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=BOS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,34.0,3367.0,1.0,3.0,<Response [200]>
,,,,,,ATL,,,,,ORD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=ORD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,33.0,3254.0,1.0,3.0,<Response [200]>
,,,,,,BOS,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BOS&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,34.0,3314.0,1.0,3.0,<Response [200]>
,,,,,,ATL,,,,,LGA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=LGA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,31.0,3049.0,1.0,3.0,<Response [200]>
,,,,,,FLL,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=FLL&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,31.0,3088.0,1.0,3.0,<Response [200]>
,,,,,,RDU,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=RDU&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,33.0,3257.0,1.0,3.0,<Response [200]>
,,,,,,BNA,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BNA&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,30.0,2978.0,1.0,3.0,<Response [200]>
,,,,,,ORF,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORF&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,23.0,2290.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,CLE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=CLE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,26.0,2538.0,1.0,4.0,<Response [200]>
,,,,,,BHM,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BHM&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,23.0,2216.0,1.0,4.0,<Response [200]>
,,,,,,LAX,,,,,SLC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=LAX&origin=SLC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2360.0,1.0,4.0,<Response [200]>
,,,,,,MIA,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MIA&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2331.0,1.0,4.0,<Response [200]>
,,,,,,JFK,,,,,SFO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=JFK&origin=SFO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,26.0,2506.0,1.0,4.0,<Response [200]>
,,,,,,IND,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=IND&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,26.0,2516.0,1.0,4.0,<Response [200]>
,,,,,,AUS,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=AUS&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,27.0,2627.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,CLT,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=CLT&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,25.0,2418.0,1.0,4.0,<Response [200]>
,,,,,,MCO,,,,,DTW,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MCO&origin=DTW&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,23.0,2218.0,1.0,4.0,<Response [200]>
,,,,,,SLC,,,,,SEA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SLC&origin=SEA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,28.0,2726.0,1.0,4.0,<Response [200]>
,,,,,,BOS,,,,,JFK,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BOS&origin=JFK&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2364.0,1.0,4.0,<Response [200]>
,,,,,,MSP,,,,,ORD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MSP&origin=ORD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,23.0,2231.0,1.0,4.0,<Response [200]>
,,,,,,EWR,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=EWR&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2323.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,FLL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=FLL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,28.0,2735.0,1.0,4.0,<Response [200]>
,,,,,,DFW,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=DFW&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,25.0,2404.0,1.0,4.0,<Response [200]>
,,,,,,STL,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=STL&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2348.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,DFW,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=DFW&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,25.0,2459.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,PHL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=PHL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,23.0,2233.0,1.0,4.0,<Response [200]>
,,,,,,CLE,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CLE&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,25.0,2406.0,1.0,4.0,<Response [200]>
,,,,,,LAX,,,,,DTW,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=LAX&origin=DTW&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2309.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,BNA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=BNA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,26.0,2543.0,1.0,4.0,<Response [200]>
,,,,,,DTW,,,,,LAX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=DTW&origin=LAX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,23.0,2228.0,1.0,4.0,<Response [200]>
,,,,,,MSP,,,,,SEA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MSP&origin=SEA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,23.0,2204.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,TYS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=TYS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,27.0,2642.0,1.0,4.0,<Response [200]>
,,,,,,CVG,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CVG&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,28.0,2785.0,1.0,4.0,<Response [200]>
,,,,,,SGN,,,,,HAN,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SGN&origin=HAN&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,25.0,2406.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,TPA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=TPA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2322.0,1.0,4.0,<Response [200]>
,,,,,,MCO,,,,,MSP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MCO&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2311.0,1.0,4.0,<Response [200]>
,,,,,,LAX,,,,,JFK,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=LAX&origin=JFK&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,25.0,2445.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,DCA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=DCA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,27.0,2613.0,1.0,4.0,<Response [200]>
,,,,,,SEA,,,,,SLC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SEA&origin=SLC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2381.0,1.0,4.0,<Response [200]>
,,,,,,SAN,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SAN&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2349.0,1.0,4.0,<Response [200]>
,,,,,,HAN,,,,,SGN,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=HAN&origin=SGN&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2375.0,1.0,4.0,<Response [200]>
,,,,,,TPA,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TPA&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,28.0,2785.0,1.0,4.0,<Response [200]>
,,,,,,PBI,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=PBI&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,23.0,2205.0,1.0,4.0,<Response [200]>
,,,,,,ATL,,,,,MCI,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=MCI&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2369.0,1.0,4.0,<Response [200]>
,,,,,,TYS,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TYS&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,26.0,2576.0,1.0,4.0,<Response [200]>
,,,,,,CLT,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CLT&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2393.0,1.0,4.0,<Response [200]>
,,,,,,BWI,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BWI&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,24.0,2340.0,1.0,4.0,<Response [200]>
,,,,,,JFK,,,,,LAX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=JFK&origin=LAX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,27.0,2622.0,1.0,4.0,<Response [200]>
,,,,,,JAX,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=JAX&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,28.0,2783.0,1.0,4.0,<Response [200]>
,,,,,,MEM,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MEM&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,26.0,2506.0,1.0,4.0,<Response [200]>
,,,,,,GSP,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=GSP&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,22.0,2158.0,1.0,5.0,<Response [200]>
,,,,,,DTW,,,,,BOS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=DTW&origin=BOS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,19.0,1818.0,1.0,5.0,<Response [200]>
,,,,,,SEA,,,,,DTW,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SEA&origin=DTW&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,21.0,2039.0,1.0,5.0,<Response [200]>
,,,,,,SEA,,,,,SFO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SEA&origin=SFO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,22.0,2164.0,1.0,5.0,<Response [200]>
,,,,,,CVG,,,,,DTW,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CVG&origin=DTW&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,22.0,2178.0,1.0,5.0,<Response [200]>
,,,,,,RIC,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=RIC&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,20.0,1971.0,1.0,5.0,<Response [200]>
,,,,,,ATL,,,,,SAN,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=SAN&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,21.0,2010.0,1.0,5.0,<Response [200]>
,,,,,,JFK,,,,,SEA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=JFK&origin=SEA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,22.0,2132.0,1.0,5.0,<Response [200]>
,,,,,,MKE,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MKE&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,19.0,1866.0,1.0,5.0,<Response [200]>
,,,,,,LAS,,,,,MSP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=LAS&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,21.0,2027.0,1.0,5.0,<Response [200]>
,,,,,,SLC,,,,,PHX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SLC&origin=PHX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,19.0,1867.0,1.0,5.0,<Response [200]>
,,,,,,MSY,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MSY&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,20.0,1950.0,1.0,5.0,<Response [200]>
,,,,,,CVG,,,,,MSP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=CVG&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,22.0,2119.0,1.0,5.0,<Response [200]>
,,,,,,ATL,,,,,EWR,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=EWR&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,21.0,2038.0,1.0,5.0,<Response [200]>
,,,,,,MSP,,,,,MCO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MSP&origin=MCO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,19.0,1893.0,1.0,5.0,<Response [200]>
,,,,,,MSP,,,,,LAX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MSP&origin=LAX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,19.0,1857.0,1.0,5.0,<Response [200]>
,,,,,,SEA,,,,,MSP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SEA&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,19.0,1821.0,1.0,5.0,<Response [200]>
,,,,,,TLH,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=TLH&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,20.0,1946.0,1.0,5.0,<Response [200]>
,,,,,,BOS,,,,,DCA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=BOS&origin=DCA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,19.0,1894.0,1.0,5.0,<Response [200]>
,,,,,,SDF,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SDF&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,19.0,1859.0,1.0,5.0,<Response [200]>
,,,,,,GSO,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=GSO&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,20.0,1977.0,1.0,5.0,<Response [200]>
,,,,,,SFO,,,,,SEA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=SFO&origin=SEA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,20.0,1922.0,1.0,5.0,<Response [200]>
,,,,,,ATL,,,,,STL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ATL&origin=STL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,22.0,2171.0,1.0,5.0,<Response [200]>
,,,,,,PIT,,,,,ATL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=PIT&origin=ATL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,21.0,2086.0,1.0,5.0,<Response [200]>
,,,,,,LAX,,,,,MSP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=LAX&origin=MSP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,20.0,1945.0,1.0,5.0,<Response [200]>
