origin,destination,endRange,startRange,totalPages,totalFlights,nb_of_pages_already_retrieved,completion,response,timestamp,message,aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,flightNumber,movementType,operatingAirlineCode,operationalSuffix,serviceType,timeOriginType,timeType,call_parameters
,FRA,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,547.0,6.0,100.0,<Response [200]>,2025-11-08T15:34:40.156948,,,,,,,,,,,,,,,destination=FRA&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,HEL,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,589.0,6.0,100.0,<Response [200]>,2025-11-08T15:34:40.190538,,,,,,,,,,,,,,,destination=HEL&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,LHR,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,12.0,1187.0,12.0,100.0,<Response [200]>,2025-11-08T15:34:40.225088,,,,,,,,,,,,,,,destination=LHR&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,LIN,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,13.0,1226.0,13.0,100.0,<Response [200]>,2025-11-08T15:34:40.262180,,,,,,,,,,,,,,,destination=LIN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,LIS,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,568.0,6.0,100.0,<Response [200]>,2025-11-08T15:34:40.295221,,,,,,,,,,,,,,,destination=LIS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,LYS,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,8.0,711.0,8.0,100.0,<Response [200]>,2025-11-08T15:34:40.326208,,,,,,,,,,,,,,,destination=LYS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,MAD,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,13.0,1228.0,13.0,100.0,<Response [200]>,2025-11-08T15:34:40.361313,,,,,,,,,,,,,,,destination=MAD&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,MAN,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,409.0,5.0,100.0,<Response [200]>,2025-11-08T15:34:40.393805,,,,,,,,,,,,,,,destination=MAN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,MRS,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,510.0,6.0,100.0,<Response [200]>,2025-11-08T15:34:40.425715,,,,,,,,,,,,,,,destination=MRS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,MUC,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,470.0,5.0,100.0,<Response [200]>,2025-11-08T15:34:40.457244,,,,,,,,,,,,,,,destination=MUC&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,NCE,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,9.0,870.0,9.0,100.0,<Response [200]>,2025-11-08T15:34:40.490631,,,,,,,,,,,,,,,destination=NCE&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,OPO,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,352.0,4.0,100.0,<Response [200]>,2025-11-08T15:34:40.525582,,,,,,,,,,,,,,,destination=OPO&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,ORY,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,61.0,6044.0,61.0,100.0,<Response [200]>,2025-11-08T15:34:40.585915,,,,,,,,,,,,,,,destination=ORY&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,OSL,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,12.0,1141.0,12.0,100.0,<Response [200]>,2025-11-08T15:34:40.624586,,,,,,,,,,,,,,,destination=OSL&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,OTP,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,435.0,5.0,100.0,<Response [200]>,2025-11-08T15:34:40.657674,,,,,,,,,,,,,,,destination=OTP&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,PMI,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,332.0,4.0,100.0,<Response [200]>,2025-11-08T15:34:40.690703,,,,,,,,,,,,,,,destination=PMI&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,TLS,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,582.0,6.0,100.0,<Response [200]>,2025-11-08T15:34:40.722926,,,,,,,,,,,,,,,destination=TLS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,TRD,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,458.0,5.0,100.0,<Response [200]>,2025-11-08T15:34:40.755961,,,,,,,,,,,,,,,destination=TRD&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
AGP,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,,4.0,100.0,,2025-11-08T15:34:41.464746,,,,,,,,,,,,,,,origin=AGP&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
AMS,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,132.0,13199.0,132.0,100.0,<Response [200]>,2025-11-08T15:34:41.014110,,,,,,,,,,,,,,,origin=AMS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
ARN,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,15.0,,15.0,100.0,,2025-11-08T15:34:41.267582,,,,,,,,,,,,,,,origin=ARN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
ATH,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,,4.0,100.0,,2025-11-08T15:34:41.564147,,,,,,,,,,,,,,,origin=ATH&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
BCN,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,9.0,,9.0,100.0,,2025-11-08T15:34:41.393089,,,,,,,,,,,,,,,origin=BCN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
BER,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,,4.0,100.0,,2025-11-08T15:34:41.865319,,,,,,,,,,,,,,,origin=BER&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
BGO,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,8.0,,8.0,100.0,,2025-11-08T15:34:41.599385,,,,,,,,,,,,,,,origin=BGO&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
CDG,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,129.0,12852.0,129.0,100.0,<Response [200]>,2025-11-08T15:34:40.916325,,,,,,,,,,,,,,,origin=CDG&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
CPH,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,13.0,,13.0,100.0,,2025-11-08T15:34:41.191176,,,,,,,,,,,,,,,origin=CPH&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
DUB,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,,5.0,100.0,,2025-11-08T15:34:41.900443,,,,,,,,,,,,,,,origin=DUB&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
FCO,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,23.0,,23.0,100.0,,2025-11-08T15:34:41.116812,,,,,,,,,,,,,,,origin=FCO&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
FRA,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,,6.0,100.0,,2025-11-08T15:34:41.669199,,,,,,,,,,,,,,,origin=FRA&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
HEL,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,546.0,6.0,100.0,<Response [200]>,2025-11-08T15:34:40.790648,,,,,,,,,,,,,,,origin=HEL&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
LHR,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,12.0,,12.0,100.0,,2025-11-08T15:34:41.154228,,,,,,,,,,,,,,,origin=LHR&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
LIN,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,12.0,,12.0,100.0,,2025-11-08T15:34:41.306366,,,,,,,,,,,,,,,origin=LIN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
LIS,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,,6.0,100.0,,2025-11-08T15:34:41.933804,,,,,,,,,,,,,,,origin=LIS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
LYS,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,9.0,,9.0,100.0,,2025-11-08T15:34:41.429749,,,,,,,,,,,,,,,origin=LYS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
MAD,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,13.0,,13.0,100.0,,2025-11-08T15:34:41.227877,,,,,,,,,,,,,,,origin=MAD&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
MAN,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,,5.0,100.0,,2025-11-08T15:34:41.832216,,,,,,,,,,,,,,,origin=MAN&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
MRS,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,,6.0,100.0,,2025-11-08T15:34:41.703935,,,,,,,,,,,,,,,origin=MRS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
MUC,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,,5.0,100.0,,2025-11-08T15:34:41.768154,,,,,,,,,,,,,,,origin=MUC&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
NCE,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,9.0,,9.0,100.0,,2025-11-08T15:34:41.354045,,,,,,,,,,,,,,,origin=NCE&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
OPO,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,354.0,4.0,100.0,<Response [200]>,2025-11-08T15:34:40.822764,,,,,,,,,,,,,,,origin=OPO&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
ORY,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,61.0,6012.0,61.0,100.0,<Response [200]>,2025-11-08T15:34:41.073186,,,,,,,,,,,,,,,origin=ORY&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
OSL,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,11.0,,11.0,100.0,,2025-11-08T15:34:41.499685,,,,,,,,,,,,,,,origin=OSL&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
OTP,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,,5.0,100.0,,2025-11-08T15:34:41.633703,,,,,,,,,,,,,,,origin=OTP&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
PMI,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,4.0,,4.0,100.0,,2025-11-08T15:34:41.735959,,,,,,,,,,,,,,,origin=PMI&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
TLS,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,6.0,,6.0,100.0,,2025-11-08T15:34:41.531847,,,,,,,,,,,,,,,origin=TLS&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
TRD,,2025-11-02T23:59:59Z,2025-10-15T00:00:00Z,5.0,,5.0,100.0,,2025-11-08T15:34:41.800349,,,,,,,,,,,,,,,origin=TRD&endRange=2025-11-02T23:59:59Z&startRange=2025-10-15T00:00:00Z
,AGP,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,15.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:41.964934,,,,,,,,,,,,,,,destination=AGP&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,AMS,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,7.0,664.0,7.0,100.0,<Response [200]>,2025-11-08T15:34:41.998630,,,,,,,,,,,,,,,destination=AMS&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,ARN,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,80.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.028921,,,,,,,,,,,,,,,destination=ARN&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,ATH,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,16.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.057433,,,,,,,,,,,,,,,destination=ATH&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,BCN,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,45.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.086209,,,,,,,,,,,,,,,destination=BCN&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,BER,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,20.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.116185,,,,,,,,,,,,,,,destination=BER&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,BGO,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,36.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.146379,,,,,,,,,,,,,,,destination=BGO&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,CDG,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,7.0,670.0,7.0,100.0,<Response [200]>,2025-11-08T15:34:42.178431,,,,,,,,,,,,,,,destination=CDG&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,CPH,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,70.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.208534,,,,,,,,,,,,,,,destination=CPH&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,DUB,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,26.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.241592,,,,,,,,,,,,,,,destination=DUB&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,FCO,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,2.0,118.0,2.0,100.0,<Response [200]>,2025-11-08T15:34:42.271438,,,,,,,,,,,,,,,destination=FCO&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,FRA,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,30.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.301099,,,,,,,,,,,,,,,destination=FRA&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,HEL,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,35.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.331496,,,,,,,,,,,,,,,destination=HEL&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,LHR,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,62.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.361783,,,,,,,,,,,,,,,destination=LHR&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,LIN,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,74.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.402271,,,,,,,,,,,,,,,destination=LIN&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,LIS,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,29.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.434196,,,,,,,,,,,,,,,destination=LIS&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,LYS,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,40.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.464067,,,,,,,,,,,,,,,destination=LYS&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,MAD,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,65.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.493639,,,,,,,,,,,,,,,destination=MAD&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,MAN,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,21.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.523563,,,,,,,,,,,,,,,destination=MAN&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,MRS,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,27.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.552839,,,,,,,,,,,,,,,destination=MRS&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,MUC,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,23.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.582758,,,,,,,,,,,,,,,destination=MUC&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,NCE,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,48.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.612794,,,,,,,,,,,,,,,destination=NCE&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,OPO,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,18.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.642835,,,,,,,,,,,,,,,destination=OPO&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,ORY,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,4.0,309.0,4.0,100.0,<Response [200]>,2025-11-08T15:34:42.674760,,,,,,,,,,,,,,,destination=ORY&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,OSL,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,55.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.706078,,,,,,,,,,,,,,,destination=OSL&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,OTP,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,25.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.736837,,,,,,,,,,,,,,,destination=OTP&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,PMI,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,11.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.767692,,,,,,,,,,,,,,,destination=PMI&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,TLS,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,,1.0,100.0,,2025-11-08T15:34:43.669661,,,,,,,,,,,,,,,destination=TLS&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
,TRD,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,,1.0,100.0,,2025-11-08T15:34:43.698099,,,,,,,,,,,,,,,destination=TRD&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
AGP,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,15.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.797722,,,,,,,,,,,,,,,origin=AGP&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
AMS,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,7.0,666.0,7.0,100.0,<Response [200]>,2025-11-08T15:34:42.830342,,,,,,,,,,,,,,,origin=AMS&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
ARN,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,79.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.859111,,,,,,,,,,,,,,,origin=ARN&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
ATH,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,15.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.890795,,,,,,,,,,,,,,,origin=ATH&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
BCN,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,44.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.920396,,,,,,,,,,,,,,,origin=BCN&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
BER,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,21.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.949968,,,,,,,,,,,,,,,origin=BER&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
BGO,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,38.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:42.980750,,,,,,,,,,,,,,,origin=BGO&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
CDG,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,7.0,671.0,7.0,100.0,<Response [200]>,2025-11-08T15:34:43.014026,,,,,,,,,,,,,,,origin=CDG&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
CPH,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,,1.0,100.0,,2025-11-08T15:34:43.045010,,,,,,,,,,,,,,,origin=CPH&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
DUB,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,26.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:43.074901,,,,,,,,,,,,,,,origin=DUB&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
FCO,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,2.0,121.0,2.0,100.0,<Response [200]>,2025-11-08T15:34:43.104936,,,,,,,,,,,,,,,origin=FCO&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
FRA,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,29.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:43.133779,,,,,,,,,,,,,,,origin=FRA&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
HEL,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,35.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:43.163788,,,,,,,,,,,,,,,origin=HEL&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
LHR,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,61.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:43.193967,,,,,,,,,,,,,,,origin=LHR&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
LIN,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,69.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:43.224905,,,,,,,,,,,,,,,origin=LIN&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
LIS,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,29.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:43.258524,,,,,,,,,,,,,,,origin=LIS&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
LYS,,2025-11-03T23:59:59Z,2025-11-03T00:00:00Z,1.0,52.0,1.0,100.0,<Response [200]>,2025-11-08T15:34:43.287058,,,,,,,,,,,,,,,origin=LYS&endRange=2025-11-03T23:59:59Z&startRange=2025-11-03T00:00:00Z
