,Unnamed: 0,aircraftRegistration,aircraftType,arrivalCity,carrierCode,consumerHost,departureCity,destination,flightNumber,movementType,operatingAirlineCode,operationalSuffix,origin,serviceType,timeOriginType,timeType,endRange,startRange,call_parameters,nb_of_pages_already_retrieved,totalPages,completion,totalFlights,response,message,timestamp
37,1053,,,,,,,MAD,,,,,ALC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=ALC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
38,1054,,,,,,,MAD,,,,,ATH,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=ATH&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
39,1055,,,,,,,MAD,,,,,BRU,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=BRU&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
40,1056,,,,,,,MAD,,,,,FRA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=FRA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
41,1057,,,,,,,MAD,,,,,LIS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=LIS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
42,1058,,,,,,,MAD,,,,,MXP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=MXP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
43,1059,,,,,,,MAD,,,,,OPO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=OPO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
44,1060,,,,,,,MAD,,,,,VCE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=VCE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
45,1061,,,,,,,MAD,,,,,VLC,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=VLC&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
46,1062,,,,,,,MAD,,,,,ZRH,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAD&origin=ZRH&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
47,1063,,,,,,,MAH,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAH&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
48,1064,,,,,,,MAH,,,,,CDG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAH&origin=CDG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
49,1065,,,,,,,MAH,,,,,LIN,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MAH&origin=LIN&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
50,1066,,,,,,,MLA,,,,,LYS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MLA&origin=LYS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
51,1067,,,,,,,MUC,,,,,FCO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MUC&origin=FCO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
52,1068,,,,,,,MXP,,,,,MAD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=MXP&origin=MAD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
53,1069,,,,,,,NCE,,,,,NCE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=NCE&origin=NCE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
54,1070,,,,,,,NCE,,,,,OTP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=NCE&origin=OTP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
55,1071,,,,,,,NTE,,,,,ACE,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=NTE&origin=ACE&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
56,1072,,,,,,,OHD,,,,,AMS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=OHD&origin=AMS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
57,1073,,,,,,,OHD,,,,,BEG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=OHD&origin=BEG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
58,1074,,,,,,,OPO,,,,,LYS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=OPO&origin=LYS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
59,1075,,,,,,,OPO,,,,,MAD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=OPO&origin=MAD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
60,1076,,,,,,,ORY,,,,,AOI,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=AOI&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T09:45:51.804586
61,1077,,,,,,,ORY,,,,,CDG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=CDG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
62,1078,,,,,,,ORY,,,,,EDI,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=EDI&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
63,1079,,,,,,,ORY,,,,,EFL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=EFL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
64,1080,,,,,,,ORY,,,,,GOA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=GOA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
65,1081,,,,,,,ORY,,,,,JSI,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=JSI&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
66,1082,,,,,,,ORY,,,,,KEF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=KEF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
67,1083,,,,,,,ORY,,,,,KGS,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=KGS&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
68,1084,,,,,,,ORY,,,,,KLX,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=KLX&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
69,1085,,,,,,,ORY,,,,,LJU,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=LJU&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
70,1086,,,,,,,ORY,,,,,LPA,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=LPA&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
71,1087,,,,,,,ORY,,,,,OSL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=OSL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
72,1088,,,,,,,ORY,,,,,PVK,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=PVK&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
73,1089,,,,,,,ORY,,,,,QSR,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=QSR&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
74,1090,,,,,,,ORY,,,,,REU,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=REU&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
75,1091,,,,,,,ORY,,,,,RMO,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=RMO&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
76,1092,,,,,,,ORY,,,,,SKG,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=SKG&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
77,1093,,,,,,,ORY,,,,,SKP,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=SKP&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
78,1094,,,,,,,ORY,,,,,SOU,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=SOU&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
79,1095,,,,,,,ORY,,,,,SUF,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=SUF&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
80,1096,,,,,,,ORY,,,,,TGD,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=TGD&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
81,1097,,,,,,,ORY,,,,,TIV,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=TIV&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
82,1098,,,,,,,ORY,,,,,TLL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=TLL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
83,1099,,,,,,,ORY,,,,,TRN,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=TRN&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
84,1100,,,,,,,ORY,,,,,VAR,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=VAR&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
85,1101,,,,,,,ORY,,,,,VOL,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=VOL&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
86,1102,,,,,,,ORY,,,,,ZTH,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=ORY&origin=ZTH&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
87,1103,,,,,,,OSL,,,,,ORY,,,,2025-10-14T23:59:59Z,2025-05-15T09:00:00Z,destination=OSL&origin=ORY&endRange=2025-10-14T23:59:59Z&startRange=2025-05-15T09:00:00Z,,,,,<Response [404]>,"{""errors"":[{""name"":""FLIGHT NOT FOUND"",""severity"":""INFO""}]}",2025-10-20T10:13:46.967173
